state_name,year,quarter_num,median_home_value,yoy_growth_pct
New York,2021,2,378141.86,11.57
New York,2021,3,389683.47,14.13
New York,2021,4,397785.0,13.36
New York,2022,1,408230.26,11.91
New York,2022,2,423520.14,12.0
New York,2022,3,432175.74,10.9
New York,2022,4,428824.28,7.8
New York,2023,1,427932.22,4.83
Georgia,2020,1,208216.48,
Georgia,2020,2,211688.08,
Georgia,2020,3,214990.99,
Georgia,2020,4,224389.07,
Georgia,2021,1,235934.53,13.31
Georgia,2021,2,249146.93,17.7
Georgia,2021,3,262153.38,21.94
Georgia,2021,4,273210.87,21.76
Georgia,2022,1,290949.15,23.32
Georgia,2022,2,310039.49,24.44
Georgia,2022,3,318763.27,21.59
Georgia,2022,4,317304.89,16.14
Georgia,2023,1,315521.49,8.45
Massachusetts,2020,1,441376.98,
Massachusetts,2020,2,448678.01,
Massachusetts,2020,3,454249.0,
Massachusetts,2020,4,472800.49,
Massachusetts,2021,1,494247.8,11.98
Massachusetts,2021,2,515660.47,14.93
Massachusetts,2021,3,528058.85,16.25
Massachusetts,2021,4,529632.61,12.02
Massachusetts,2022,1,546099.45,10.49
Massachusetts,2022,2,574451.36,11.4
Massachusetts,2022,3,582893.66,10.38
Massachusetts,2022,4,574709.6,8.51
Massachusetts,2023,1,573059.78,4.94
Iowa,2020,1,154125.54,
Iowa,2020,2,157384.97,
Iowa,2020,3,161160.18,
Iowa,2020,4,166176.55,
Iowa,2021,1,169688.62,10.1
Iowa,2021,2,174554.58,10.91
Iowa,2021,3,179225.84,11.21
Iowa,2021,4,181522.04,9.23
Iowa,2022,1,187450.95,10.47
Iowa,2022,2,196201.11,12.4
Iowa,2022,3,200861.1,12.07
Iowa,2022,4,201485.4,11.0
Iowa,2023,1,202526.38,8.04
Kentucky,2020,1,143530.06,
Kentucky,2020,2,146271.57,
Kentucky,2020,3,149554.9,
Kentucky,2020,4,155899.92,
Kentucky,2021,1,161595.83,12.59
Kentucky,2021,2,167063.58,14.21
Kentucky,2021,3,171437.83,14.63
Kentucky,2021,4,172980.26,10.96
Kentucky,2022,1,179214.72,10.9
Kentucky,2022,2,187705.47,12.36
Kentucky,2022,3,192376.36,12.21
Kentucky,2022,4,193349.45,11.78
Kentucky,2023,1,195764.17,9.23
Wisconsin,2020,1,206220.02,
Wisconsin,2020,2,209948.91,
Wisconsin,2020,3,213579.16,
Wisconsin,2020,4,222442.26,
Wisconsin,2021,1,230052.71,11.56
Wisconsin,2021,2,238569.98,13.63
Wisconsin,2021,3,246887.51,15.6
Wisconsin,2021,4,248245.13,11.6
Wisconsin,2022,1,254417.1,10.59
Wisconsin,2022,2,264872.65,11.03
Wisconsin,2022,3,268923.98,8.93
Wisconsin,2022,4,268030.13,7.97
Wisconsin,2023,1,271761.37,6.82
Idaho,2020,1,299661.63,
Idaho,2020,2,310631.93,
Idaho,2020,3,320112.89,
Idaho,2020,4,341767.57,
Idaho,2021,1,373912.62,24.78
Idaho,2021,2,410944.56,32.29
Idaho,2021,3,436404.63,36.33
Idaho,2021,4,446868.59,30.75
